route_id,route_short_name,route_long_name,route_type
971,971,NARBEL - F.ALTAY AKTARMA MERKEZİ,3
986,986,ÜRKMEZ - SEFERİHİSAR,3
990,990,BEYLER - SEFERİHİSAR,3
9006,713,DEÜ MESLEK YÜKSEK OKULU - TORBALI,3
9007,714,DEÜ MESLEK YÜKSEK OKULU - TORBALI AKTARMA MERKEZİ,3
9013,985,SEFERİHİSAR - F.ALTAY AKTARMA MERKEZİ,3
9014,640,SIĞACIK - SEFERİHİSAR,3
9017,963,EVKA 3 METRO - ALSANCAK GAR,3
9018,921,BOSTANLI İSKELE - ALSANCAK GAR,3
9019,912,EGEKENT AKTARMA MERKEZİ - ALSANCAK GAR,3
9020,470,TINAZTEPE - LOZAN MEYDANI,3
9021,680,BOZYAKA - LOZAN MEYDANI,3
9022,691,GAZİEMİR - LOZAN MEYDAN,3
9024,681,F.ALTAY - LOZAN MEYDANI,3
9025,951,LOZAN MEYDANI - KONAK,3
9039,984,URLA - F.ALTAY AKTARMA MERKEZİ,3
9048,981,BALIKLIOVA - F.ALTAY AKTARMA MERKEZİ,3
9049,982,İ.Y.T.E. - F.ALTAY AKTARMA MERKEZİ,3
9050,983,BADEMLER - F.ALTAY AKTARMA MERKEZİ,3
9055,988,KEMALPAŞA - EVKA3 METRO,3
9057,873,YENİTEPE EVLERİ - FAHRETTİN ALTAY AKTARMA,3
9069,882,İ.Y.T.E - URLA,3
9071,41,LEVENT - GÜMRÜK,3
9072,816,ÇİĞLİ BÖLGE EĞİTİM HASTANESİ - EGEKENT AKTARMA MERKEZİ,3
9075,987,ÜRKMEZ - F. ALTAY AKTARMA MERKEZİ,3
9142,975,SEFERİHİSAR - F.ALTAY AKTARMA,3
9143,991,ÇAMTEPE - SEFERİHİSAR,3
9145,989,ORHANLI - SEFERİHİSAR,3
9157,966,ULUCAK - EVKA3 METRO,3
9158,799,ÇATALCA - CUMAOVASI AKTARMA,3
9159,834,YENİ MAHALLE - ALİAĞA AKTARMA MERKEZİ,3
9161,491,IRMAK MAHALLESİ - SARNIÇ AKTARMA MERKEZİ,3
9162,692,KARAKUYU - PANCAR AKTARMA,3
9163,236,ŞİRİNYER AKTARMA MERKEZİ - GÜMRÜK,3
9164,831,DEMİRCİDERE - BERGAMA,3
9165,832,YUKARICUMA - BERGAMA,3
9166,833,GÜNEŞLİ - BERGAMA,3
9170,715,DEÜ MESLEK YÜKSEK OKULU - TORBALI AKTARMA MERKEZİ,3
9171,719,ÇAPAK - TORBALI,3
9172,794,KÜNER - CUMAOVASI AKTARMA MERKEZİ,3
9173,774,TİRE TOPLU KONUTLAR - KAHRAT,3
9174,577,NAFİZ GÜRMAN-HALKAPINAR METRO 2,3
9177,961,İÇMELER - URLA,3
9178,575,MALİYECİLER MAHALLESİ - ÜÇYOL METRO,3
9180,426,MUSTAFA KEMAL MAH - HALKAPINAR METRO2,3
